Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1461.3475433449528,1286.0129871839436,1461.3475433449528,4,2025-11-21 21:01:20
1,1452.6764874593318,1315.0387150289243,1451.8971541259984,4,2025-11-21 21:01:21
2,1470.8098753408383,1334.8996066307532,1469.2432753408382,4,2025-11-21 21:01:22
3,1459.787570023964,1329.190376178925,1459.787570023964,4,2025-11-21 21:01:23
4,1482.9359916016874,1328.1433271155672,1482.0368868665685,4,2025-11-21 21:01:24
5,1453.5480740717626,1342.9849787778824,1452.875102669977,4,2025-11-21 21:01:25
6,1471.764742498297,1332.1713834145935,1471.764742498297,4,2025-11-21 21:01:26
7,1487.9620523977226,1343.3137851177946,1487.9620523977226,4,2025-11-21 21:01:27
8,1471.549730707599,1332.6269506880342,1471.0650473742658,4,2025-11-21 21:01:27
9,1373.9612913747742,1318.8197849429794,1373.6707613747742,4,2025-11-21 21:01:28
10,1407.6028983674094,1311.770128969876,1406.6629983674093,4,2025-11-21 21:01:29
11,1404.5154729001247,1311.9870593134337,1404.2077152542913,4,2025-11-21 21:01:30
12,1403.4630966135426,1323.9253300154226,1403.4630966135426,4,2025-11-21 21:01:31
13,1444.971115201807,1335.861226390658,1444.6667485351402,4,2025-11-21 21:01:32
14,1474.477061246642,1345.5150230323115,1474.102733151404,4,2025-11-21 21:01:33
15,1456.9580598156567,1339.354159761009,1456.6460598156568,4,2025-11-21 21:01:34
16,1399.0992032906363,1326.2157410868572,1398.6923513858744,4,2025-11-21 21:01:35
17,1349.495857296831,1306.3788235855777,1349.1951592015928,4,2025-11-21 21:01:36
18,1414.2824473345902,1323.1919564352909,1413.3747473345902,4,2025-11-21 21:01:37
19,1438.905235709231,1327.7582989941302,1438.690285709231,4,2025-11-21 21:01:38
20,1467.6568418550644,1324.2144780698584,1467.5920585217311,4,2025-11-21 21:01:39
21,1434.729301859025,1317.9025347162924,1434.5762185256917,4,2025-11-21 21:01:40
22,1433.8372967773535,1333.9742576005735,1433.5284227384645,3,2025-11-21 21:01:41
23,1486.4096975012214,1357.9122498680683,1485.7731975012214,3,2025-11-21 21:01:42
24,1504.5678959255138,1347.4306556110298,1504.4481669482625,3,2025-11-21 21:01:43
25,1504.292213951908,1357.9733389761852,1503.868195936035,3,2025-11-21 21:01:44
26,1504.6174700522638,1362.9022228409024,1504.3666165943273,3,2025-11-21 21:01:45
27,1460.4984392753056,1356.9376140192542,1460.1872782967341,3,2025-11-21 21:01:46
28,1528.561168424284,1373.9337360241786,1528.417868424284,3,2025-11-21 21:01:47
29,1530.6013965747686,1384.332934922106,1530.2022074497686,3,2025-11-21 21:01:48
30,1512.0185650899093,1374.0364191362162,1511.4207472327664,3,2025-11-21 21:01:49
31,1516.0536235027284,1390.6551396527636,1515.9773735027284,3,2025-11-21 21:01:50
32,1534.5950677726173,1397.5395691112215,1534.1348072964267,3,2025-11-21 21:01:51
33,1487.875797098318,1371.566677339738,1487.1348599554608,3,2025-11-21 21:01:52
34,1510.6345783649774,1371.903835606541,1510.6345783649774,3,2025-11-21 21:01:53
35,1439.7248500483404,1347.0465794760526,1438.6612633816737,3,2025-11-21 21:01:54
36,1418.0577775992458,1346.8243994878487,1417.729228789722,3,2025-11-21 21:01:55
37,1475.243761258857,1429.453240241138,1474.9835931477458,2,2025-11-21 21:01:56
38,1460.190580622069,1440.1584170876513,1459.6505492490533,2,2025-11-21 21:01:57
39,1469.5814547395282,1423.8200267948719,1469.1605045569886,2,2025-11-21 21:01:58
40,1437.0713263893053,1419.7970686287788,1436.60517677621,2,2025-11-21 21:01:59
41,1470.2146740842386,1420.6253623574914,1470.2146740842386,2,2025-11-21 21:02:00
42,1432.904165146239,1427.112510100507,1432.5949189939572,2,2025-11-21 21:02:01
43,1469.8044129016314,1431.86127144987,1468.9899129016314,2,2025-11-21 21:02:02
44,1496.2804686008185,1430.4760285595635,1496.1338368959573,2,2025-11-21 21:02:03
45,1491.0393762431395,1415.5669067823162,1490.5367428324253,2,2025-11-21 21:02:04
46,1532.3114379805356,1426.44450059052,1532.0075900082143,2,2025-11-21 21:02:05
47,1485.5783135741772,1446.54949598878,1485.1443395845938,2,2025-11-21 21:02:06
48,1463.8949436516832,1405.3893469601032,1463.8949436516832,2,2025-11-21 21:02:07
49,1521.501511866061,1408.0732509703503,1521.2869309136802,2,2025-11-21 21:02:08
