ball_x,ball_y,ball_vel_x,ball_vel_y,paddle_left_y,paddle_right_y,human_action
393,293,-8,8,250,250,STAY
385,301,-8,8,257,250,STAY
377,309,-8,8,264,250,STAY
369,317,-8,8,271,250,STAY
361,325,-8,8,278,250,STAY
353,333,-8,8,285,250,STAY
345,341,-8,8,292,250,STAY
337,349,-8,8,299,250,STAY
329,357,-8,8,306,250,STAY
321,365,-8,8,313,250,STAY
313,373,-8,8,320,250,STAY
305,381,-8,8,327,250,STAY
297,389,-8,8,334,250,STAY
289,397,-8,8,341,250,STAY
281,405,-8,8,348,250,STAY
273,413,-8,8,355,250,STAY
265,421,-8,8,362,250,STAY
257,429,-8,8,369,250,STAY
249,437,-8,8,376,250,STAY
241,445,-8,8,383,250,STAY
233,453,-8,8,390,250,STAY
225,461,-8,8,397,250,STAY
217,469,-8,8,404,250,STAY
209,477,-8,8,411,250,STAY
201,485,-8,8,418,250,STAY
193,493,-8,8,425,250,STAY
185,501,-8,8,432,250,STAY
177,509,-8,8,439,250,STAY
169,517,-8,8,446,250,STAY
161,525,-8,8,453,250,STAY
153,533,-8,8,460,250,STAY
145,541,-8,8,467,250,STAY
137,549,-8,8,474,250,STAY
129,557,-8,8,481,250,STAY
121,565,-8,8,488,250,STAY
113,573,-8,8,495,250,STAY
105,581,-8,8,500,250,STAY
97,589,-8,-8,500,250,STAY
89,581,-8,-8,500,250,STAY
81,573,-8,-8,500,250,STAY
73,565,-8,-8,500,250,STAY
65,557,-8,-8,500,250,STAY
57,549,-8,-8,500,250,STAY
49,541,-8,-8,500,250,STAY
41,533,-8,-8,500,250,STAY
33,525,-8,-8,500,250,STAY
30,517,8,-8,500,250,STAY
38,509,8,-8,500,250,STAY
46,501,8,-8,500,250,STAY
54,493,8,-8,500,250,STAY
62,485,8,-8,500,250,STAY
70,477,8,-8,500,250,STAY
78,469,8,-8,500,250,STAY
86,461,8,-8,500,250,STAY
94,453,8,-8,500,250,STAY
102,445,8,-8,500,250,STAY
110,437,8,-8,500,250,STAY
118,429,8,-8,500,250,STAY
126,421,8,-8,500,250,STAY
134,413,8,-8,500,250,STAY
142,405,8,-8,500,250,STAY
150,397,8,-8,500,250,STAY
158,389,8,-8,500,250,STAY
166,381,8,-8,500,250,STAY
174,373,8,-8,500,250,STAY
182,365,8,-8,500,250,STAY
190,357,8,-8,500,250,STAY
198,349,8,-8,500,250,STAY
206,341,8,-8,500,250,STAY
214,333,8,-8,500,250,STAY
222,325,8,-8,500,250,STAY
230,317,8,-8,500,250,STAY
238,309,8,-8,493,250,STAY
246,301,8,-8,486,250,STAY
254,293,8,-8,479,250,STAY
262,285,8,-8,472,250,STAY
270,277,8,-8,465,250,STAY
278,269,8,-8,458,250,STAY
286,261,8,-8,451,250,STAY
294,253,8,-8,444,250,STAY
302,245,8,-8,437,250,STAY
310,237,8,-8,430,250,STAY
318,229,8,-8,423,250,STAY
326,221,8,-8,416,250,STAY
334,213,8,-8,409,250,STAY
342,205,8,-8,402,250,STAY
350,197,8,-8,395,250,STAY
358,189,8,-8,388,250,STAY
366,181,8,-8,381,250,STAY
374,173,8,-8,374,250,STAY
382,165,8,-8,367,250,STAY
390,157,8,-8,360,250,STAY
398,149,8,-8,353,250,STAY
406,141,8,-8,346,250,STAY
414,133,8,-8,339,250,STAY
422,125,8,-8,332,250,STAY
430,117,8,-8,325,250,STAY
438,109,8,-8,318,250,STAY
446,101,8,-8,311,250,STAY
454,93,8,-8,304,250,STAY
462,85,8,-8,297,250,STAY
470,77,8,-8,290,250,STAY
478,69,8,-8,283,250,STAY
486,61,8,-8,276,250,STAY
494,53,8,-8,269,250,STAY
502,45,8,-8,262,250,STAY
510,37,8,-8,255,250,STAY
518,29,8,-8,248,250,STAY
526,21,8,-8,241,250,STAY
534,13,8,-8,234,250,STAY
542,5,8,-8,227,250,STAY
550,-3,8,8,220,250,STAY
558,5,8,8,213,250,STAY
566,13,8,8,206,250,STAY
574,21,8,8,199,250,STAY
582,29,8,8,192,250,STAY
590,37,8,8,185,250,STAY
598,45,8,8,178,250,STAY
606,53,8,8,171,250,STAY
614,61,8,8,164,250,STAY
622,69,8,8,157,250,STAY
630,77,8,8,150,250,STAY
638,85,8,8,143,250,STAY
646,93,8,8,136,250,STAY
654,101,8,8,129,250,STAY
662,109,8,8,122,250,STAY
670,117,8,8,115,250,STAY
678,125,8,8,122,250,STAY
686,133,8,8,129,250,STAY
694,141,8,8,136,250,STAY
702,149,8,8,143,250,STAY
710,157,8,8,150,250,STAY
718,165,8,8,157,250,STAY
726,173,8,8,164,250,STAY
734,181,8,8,171,250,STAY
742,189,8,8,178,250,STAY
750,197,8,8,185,250,STAY
758,205,8,8,192,250,STAY
766,213,8,8,199,250,STAY
774,221,8,8,206,250,STAY
782,229,8,8,213,250,STAY
393,293,8,-8,220,250,STAY
401,285,8,-8,227,250,STAY
409,277,8,-8,234,250,STAY
417,269,8,-8,241,250,STAY
425,261,8,-8,248,250,STAY
433,253,8,-8,255,250,STAY
441,245,8,-8,262,250,STAY
449,237,8,-8,269,250,STAY
457,229,8,-8,276,250,STAY
465,221,8,-8,283,250,STAY
473,213,8,-8,290,250,STAY
481,205,8,-8,297,250,STAY
489,197,8,-8,304,250,STAY
497,189,8,-8,311,250,STAY
505,181,8,-8,304,250,STAY
513,173,8,-8,297,250,STAY
521,165,8,-8,290,250,STAY
529,157,8,-8,283,250,STAY
537,149,8,-8,276,250,STAY
545,141,8,-8,269,250,STAY
553,133,8,-8,262,250,STAY
561,125,8,-8,255,250,STAY
569,117,8,-8,248,250,STAY
577,109,8,-8,241,250,STAY
585,101,8,-8,234,250,STAY
593,93,8,-8,227,250,STAY
601,85,8,-8,220,250,STAY
609,77,8,-8,213,250,STAY
617,69,8,-8,206,250,STAY
625,61,8,-8,199,250,STAY
633,53,8,-8,192,250,STAY
641,45,8,-8,185,250,STAY
649,37,8,-8,178,250,STAY
657,29,8,-8,171,250,STAY
665,21,8,-8,164,250,STAY
673,13,8,-8,157,250,STAY
681,5,8,-8,150,250,STAY
689,-3,8,8,143,250,STAY
697,5,8,8,136,250,STAY
705,13,8,8,129,250,STAY
713,21,8,8,122,250,STAY
721,29,8,8,115,250,STAY
729,37,8,8,108,250,STAY
737,45,8,8,101,250,STAY
745,53,8,8,94,250,STAY
753,61,8,8,87,250,STAY
761,69,8,8,80,250,STAY
769,77,8,8,73,250,STAY
777,85,8,8,80,250,STAY
785,93,8,8,87,250,STAY
393,293,8,-8,94,250,STAY
401,285,8,-8,101,250,STAY
409,277,8,-8,108,250,STAY
417,269,8,-8,115,250,STAY
425,261,8,-8,122,250,STAY
433,253,8,-8,129,250,STAY
441,245,8,-8,136,250,STAY
449,237,8,-8,143,250,STAY
457,229,8,-8,150,250,STAY
