Generation,Best_Fitness,Avg_Fitness,Best_ELO,Species_Count,Timestamp
0,1322.6337319682837,1274.60142776227,1322.6337319682837,3,2025-11-19 22:05:35
1,1390.418726987862,1275.4351055490065,1387.6391974640526,3,2025-11-19 22:05:36
2,1473.2582761899246,1267.2607249059683,1473.2582761899246,4,2025-11-19 22:05:37
3,1511.5280929360285,1283.979885652482,1511.124160719578,4,2025-11-19 22:05:38
4,1535.3001612160078,1302.9763007851807,1534.4554901657625,4,2025-11-19 22:05:39
5,1573.1530703373835,1323.9164242013526,1571.246001722665,4,2025-11-19 22:05:40
6,1614.158804997826,1342.3659141636945,1613.1549383311594,4,2025-11-19 22:05:41
7,1623.0140340181147,1372.820694317452,1622.5082968570948,4,2025-11-19 22:05:42
8,1643.570913261792,1399.7936164818861,1643.570913261792,4,2025-11-19 22:05:43
9,1636.5756276922305,1406.4553968999612,1636.3891955241497,4,2025-11-19 22:05:44
10,1635.7717056051251,1405.429629651186,1635.2259120930462,4,2025-11-19 22:05:46
11,1631.9358111009612,1442.3222630381233,1631.7700277676279,4,2025-11-19 22:05:48
12,1645.439811833259,1494.19179858338,1645.3557435103266,4,2025-11-19 22:05:49
13,1635.0337100527147,1511.0113616707276,1634.7497351866457,4,2025-11-19 22:05:51
14,1630.9536740332833,1521.0877638737074,1630.887822926623,4,2025-11-19 22:05:53
15,1634.5038396501247,1488.9795653843805,1634.014860361017,4,2025-11-19 22:05:54
16,1644.3095737290932,1447.2735431672922,1643.5934070624266,4,2025-11-19 22:05:57
17,1612.0985481214555,1473.7079901732627,1611.918593938499,4,2025-11-19 22:05:59
18,1581.6482611170243,1475.7465796700315,1581.5663239843632,4,2025-11-19 22:06:01
19,1598.377850414694,1469.3567012010628,1598.377850414694,4,2025-11-19 22:06:03
20,1593.32522892312,1476.4921199847302,1593.0764778012751,4,2025-11-19 22:06:05
21,1578.609332816163,1488.2106325682164,1578.4773649459012,4,2025-11-19 22:06:08
22,1577.3732549517345,1503.7521018589823,1577.2839044751438,4,2025-11-19 22:06:10
23,1590.5480316777382,1506.6660119918026,1590.5480316777382,4,2025-11-19 22:06:13
24,1609.4550618651276,1525.321017754514,1609.0500641049052,4,2025-11-19 22:06:15
25,1617.6648923246903,1539.785565431939,1617.573100463936,4,2025-11-19 22:06:17
26,1621.4209050407371,1553.533962806992,1621.3162931371367,4,2025-11-19 22:06:20
27,1632.1833034907584,1572.411754433197,1632.0595463479012,4,2025-11-19 22:06:21
28,1622.3262223587203,1581.101137635885,1622.3262223587203,4,2025-11-19 22:06:23
29,1613.385289145491,1575.1481851544488,1613.3648583871454,4,2025-11-19 22:06:25
30,1619.1956631549458,1570.8075074799347,1619.1161591049074,4,2025-11-19 22:06:28
